restaurant_id,group,Метрика До,Метрика После,Изменение,"Изменение, %"
1,control,0.2,0.2,-0.0,-0.0
2,control,0.2,0.2,-0.0,-0.0
3,control,0.2,0.2,-0.0,-0.0
4,control,0.2,0.2,0.0,0.0
5,control,0.2,0.2,0.0,0.0
6,control,0.2,0.21,0.0,0.0
7,control,0.2,0.2,-0.0,-0.0
8,control,0.2,0.2,0.0,0.0
9,control,0.2,0.2,-0.0,-0.0
10,control,0.2,0.2,0.0,0.0
11,control,0.2,0.2,-0.01,-4.95
12,control,0.2,0.2,0.0,0.0
13,control,0.2,0.2,-0.0,-0.0
14,control,0.2,0.2,-0.0,-0.0
15,control,0.2,0.2,0.0,0.0
16,control,0.2,0.2,-0.01,-4.97
17,control,0.2,0.2,-0.01,-4.96
18,control,0.2,0.2,0.0,0.0
19,test,0.2,0.2,-0.0,-0.0
20,test,0.2,0.2,-0.0,-0.0
21,test,0.2,0.2,0.0,0.0
22,test,0.2,0.2,0.0,0.0
23,test,0.2,0.2,-0.0,-0.0
24,test,0.2,0.2,0.0,0.0
25,test,0.2,0.2,-0.0,-0.0
26,test,0.2,0.2,-0.0,-0.0
27,test,0.2,0.2,0.0,0.0
28,test,0.2,0.2,0.0,0.0
29,test,0.2,0.2,-0.0,-0.0
30,test,0.2,0.2,0.0,0.0
31,test,0.2,0.2,0.0,0.0
32,test,0.2,0.2,0.0,0.0
33,test,0.2,0.2,-0.0,-0.0
34,test,0.2,0.2,-0.0,-0.0
35,test,0.2,0.2,-0.0,-0.0
36,test,0.2,0.2,-0.0,-0.0
37,control,0.2,0.2,-0.0,-0.0
38,control,0.2,0.2,0.0,0.0
39,control,0.2,0.2,0.0,0.0
40,control,0.2,0.2,0.0,0.0
41,control,0.2,0.2,-0.0,-0.0
42,control,0.2,0.2,0.0,0.0
43,control,0.2,0.2,0.0,0.0
44,control,0.2,0.2,-0.0,-0.0
45,control,0.2,0.2,-0.01,-4.98
46,control,0.2,0.2,0.0,0.0
47,control,0.2,0.2,-0.0,-0.0
48,control,0.2,0.2,-0.0,-0.0
49,control,0.2,0.2,0.0,0.0
50,control,0.2,0.2,0.0,0.0
51,control,0.2,0.2,0.0,0.0
52,control,0.2,0.2,0.0,0.0
53,control,0.2,0.19,-0.01,-4.98
54,control,0.2,0.2,-0.0,-0.0
55,test,0.2,0.2,-0.0,-0.0
56,test,0.2,0.2,0.0,0.0
57,test,0.2,0.2,0.0,0.0
58,test,0.2,0.2,0.0,0.0
59,test,0.2,0.2,0.0,0.0
60,test,0.2,0.2,-0.0,-0.0
61,test,0.2,0.2,-0.0,-0.0
62,test,0.2,0.2,-0.01,-4.97
63,test,0.2,0.2,-0.0,-0.0
64,test,0.2,0.2,-0.0,-0.0
65,test,0.2,0.2,0.0,0.0
66,test,0.2,0.2,0.0,0.0
67,test,0.2,0.2,0.0,0.0
68,test,0.2,0.2,-0.0,-0.0
69,test,0.2,0.2,-0.0,-0.0
70,test,0.2,0.2,0.0,0.0
71,test,0.2,0.2,0.0,0.0
72,test,0.2,0.2,-0.0,-0.0
