restaurant_id,group,Метрика До,Метрика После,Изменение,"Изменение, %"
1,control,0.93,0.86,-0.07,-7.53
2,control,0.92,0.81,-0.11,-12.01
3,control,0.85,0.98,0.14,16.55
4,control,0.91,0.85,-0.06,-6.59
5,control,0.88,0.83,-0.04,-4.57
6,control,0.86,0.89,0.03,3.47
7,control,0.94,0.91,-0.04,-4.25
8,control,0.88,0.87,-0.01,-1.13
9,control,0.85,0.89,0.04,4.68
10,control,0.86,0.88,0.02,2.33
11,control,0.9,0.89,-0.01,-1.11
12,control,0.88,0.93,0.04,4.54
13,control,0.91,0.85,-0.06,-6.6
14,control,0.94,0.86,-0.08,-8.5
15,control,0.94,0.85,-0.08,-8.55
16,control,0.92,0.83,-0.09,-9.83
17,control,0.89,0.93,0.04,4.52
18,control,0.89,0.96,0.07,7.87
19,test,0.89,0.87,-0.02,-2.24
20,test,0.94,1.02,0.08,8.48
21,test,0.88,0.91,0.03,3.41
22,test,0.82,0.85,0.03,3.65
23,test,0.88,0.88,-0.0,-0.0
24,test,0.84,0.84,-0.0,-0.0
25,test,0.87,0.92,0.05,5.76
26,test,0.92,0.87,-0.05,-5.44
27,test,0.9,0.91,0.01,1.11
28,test,0.92,0.88,-0.04,-4.36
29,test,0.92,0.92,0.0,0.0
30,test,0.9,0.88,-0.03,-3.32
31,test,0.95,0.76,-0.19,-19.91
32,test,0.88,0.82,-0.06,-6.81
33,test,0.96,0.92,-0.04,-4.18
34,test,0.93,0.89,-0.04,-4.29
35,test,0.86,1.04,0.18,20.93
36,test,0.87,0.87,0.0,0.0
37,control,0.94,1.05,0.11,11.75
38,control,0.89,0.73,-0.16,-17.99
39,control,0.93,0.9,-0.03,-3.23
40,control,0.91,0.82,-0.09,-9.94
41,control,0.93,0.88,-0.05,-5.38
42,control,0.93,0.89,-0.04,-4.31
43,control,0.87,0.9,0.03,3.45
44,control,0.87,0.8,-0.07,-8.09
45,control,0.84,0.92,0.08,9.57
46,control,0.87,0.91,0.03,3.43
47,control,0.89,0.94,0.05,5.61
48,control,0.87,0.9,0.04,4.61
49,control,0.89,0.89,-0.0,-0.0
50,control,0.93,0.85,-0.09,-9.65
51,control,0.96,0.92,-0.04,-4.16
52,control,0.88,0.98,0.1,11.36
53,control,0.93,0.99,0.06,6.46
54,control,0.85,0.83,-0.02,-2.35
55,test,0.93,0.85,-0.08,-8.57
56,test,0.96,0.95,-0.01,-1.04
57,test,0.94,0.9,-0.04,-4.25
58,test,0.83,0.85,0.02,2.41
59,test,0.84,0.88,0.05,5.97
60,test,0.93,0.88,-0.04,-4.31
61,test,0.87,0.86,-0.0,-0.0
62,test,0.89,0.82,-0.07,-7.9
63,test,0.87,0.89,0.02,2.31
64,test,0.91,0.88,-0.03,-3.28
65,test,0.95,0.93,-0.02,-2.1
66,test,0.86,1.05,0.19,22.1
67,test,0.91,0.89,-0.01,-1.1
68,test,0.85,0.83,-0.01,-1.18
69,test,0.89,0.79,-0.09,-10.16
70,test,0.84,1.14,0.3,35.82
71,test,0.92,0.87,-0.04,-4.36
72,test,0.98,0.8,-0.19,-19.36
