restaurant_id,group,Метрика До,Метрика После,Изменение,"Изменение, %"
1,control,4.38,4.4,0.02,0.46
2,control,4.76,4.59,-0.18,-3.78
3,control,4.32,4.22,-0.1,-2.32
4,control,4.69,4.2,-0.49,-10.46
5,control,4.54,4.68,0.14,3.08
6,control,4.16,4.27,0.1,2.4
7,control,4.33,4.75,0.42,9.71
8,control,4.39,3.63,-0.76,-17.32
9,control,4.07,4.86,0.79,19.41
10,control,4.44,4.54,0.1,2.25
11,control,4.41,3.97,-0.44,-9.98
12,control,4.27,4.64,0.37,8.67
13,control,4.52,4.79,0.27,5.97
14,control,4.0,4.42,0.42,10.49
15,control,4.56,4.01,-0.54,-11.85
16,control,4.62,4.85,0.23,4.98
17,control,4.22,4.22,0.0,0.0
18,control,4.43,4.56,0.13,2.93
19,test,4.6,4.61,0.0,0.0
20,test,4.51,4.58,0.07,1.55
21,test,4.5,3.92,-0.58,-12.88
22,test,4.58,5.05,0.46,10.04
23,test,4.23,4.01,-0.22,-5.2
24,test,4.24,4.29,0.05,1.18
25,test,4.49,4.79,0.3,6.68
26,test,4.49,4.8,0.31,6.91
27,test,4.29,4.59,0.3,6.99
28,test,4.48,4.23,-0.24,-5.36
29,test,4.48,4.36,-0.12,-2.68
30,test,4.52,4.92,0.4,8.85
31,test,4.77,4.7,-0.08,-1.68
32,test,4.6,4.34,-0.26,-5.65
33,test,4.54,5.13,0.59,13.0
34,test,4.2,4.66,0.46,10.94
35,test,4.93,4.36,-0.57,-11.56
36,test,4.6,4.42,-0.18,-3.91
37,control,4.52,4.69,0.17,3.76
38,control,4.36,5.07,0.71,16.28
39,control,5.07,4.95,-0.13,-2.56
40,control,4.26,4.88,0.62,14.56
41,control,4.28,4.3,0.01,0.23
42,control,4.58,4.36,-0.23,-5.02
43,control,4.47,4.17,-0.3,-6.71
44,control,4.47,4.4,-0.07,-1.57
45,control,4.51,4.2,-0.3,-6.65
46,control,4.22,4.52,0.29,6.87
47,control,4.44,4.69,0.25,5.63
48,control,4.49,5.23,0.74,16.49
49,control,4.59,4.9,0.31,6.75
50,control,4.2,5.0,0.8,19.04
51,control,4.01,4.42,0.41,10.22
52,control,4.37,4.27,-0.1,-2.29
53,control,4.42,3.88,-0.55,-12.43
54,control,4.36,4.66,0.3,6.88
55,test,4.66,4.64,-0.02,-0.43
56,test,4.62,4.42,-0.2,-4.33
57,test,4.14,4.29,0.16,3.87
58,test,4.68,4.04,-0.64,-13.68
59,test,4.31,4.04,-0.27,-6.27
60,test,4.58,4.38,-0.2,-4.37
61,test,4.26,4.74,0.47,11.02
62,test,5.14,4.27,-0.88,-17.12
63,test,4.43,4.58,0.16,3.62
64,test,4.23,3.84,-0.4,-9.45
65,test,4.71,4.43,-0.27,-5.74
66,test,4.33,4.64,0.31,7.16
67,test,4.85,4.33,-0.52,-10.72
68,test,4.45,4.31,-0.14,-3.15
69,test,4.67,4.78,0.11,2.35
70,test,4.54,4.27,-0.28,-6.16
71,test,4.63,4.15,-0.47,-10.16
72,test,4.49,4.72,0.22,4.9
